Land_ID,Farmer_ID,Land_Name,Area_Acres,Soil_Type,Irrigation_Type
1,1,Farm-1,9.63,Sandy,Sprinkler
2,1,Farm-2,8.69,Loamy,Rain-fed
3,2,Farm-3,1.74,Red,Sprinkler
4,2,Farm-4,4.21,Clay,Drip
5,3,Farm-5,5.8,Red,Sprinkler
6,3,Farm-6,3.06,Red,Sprinkler
7,4,Farm-7,5.18,Clay,Canal
8,4,Farm-8,5.95,Sandy,Rain-fed
9,5,Farm-9,10.49,Black,Rain-fed
10,5,Farm-10,3.84,Clay,Drip
11,6,Farm-11,6.52,Loamy,Borewell
12,6,Farm-12,5.76,Clay,Rain-fed
13,7,Farm-13,10.68,Black,Rain-fed
14,7,Farm-14,8.05,Sandy,Canal
15,8,Farm-15,11.16,Loamy,Sprinkler
16,8,Farm-16,5.51,Loamy,Sprinkler
17,9,Farm-17,4.57,Red,Sprinkler
18,9,Farm-18,11.03,Sandy,Rain-fed
19,10,Farm-19,7.73,Sandy,Drip
20,10,Farm-20,2.91,Black,Borewell
21,11,Farm-21,10.6,Red,Canal
22,11,Farm-22,4.02,Sandy,Rain-fed
23,12,Farm-23,5.12,Loamy,Rain-fed
24,12,Farm-24,9.28,Red,Rain-fed
25,13,Farm-25,9.01,Clay,Canal
26,13,Farm-26,8.01,Loamy,Sprinkler
27,14,Farm-27,5.13,Red,Sprinkler
28,14,Farm-28,7.34,Red,Rain-fed
29,15,Farm-29,5.02,Clay,Drip
30,15,Farm-30,1.76,Sandy,Canal
31,16,Farm-31,7.42,Red,Rain-fed
32,16,Farm-32,8.27,Sandy,Rain-fed
33,17,Farm-33,7.96,Loamy,Borewell
34,17,Farm-34,6.58,Red,Sprinkler
35,18,Farm-35,3.75,Black,Rain-fed
36,18,Farm-36,9.04,Clay,Rain-fed
37,19,Farm-37,7.19,Loamy,Canal
38,19,Farm-38,9.95,Clay,Sprinkler
39,20,Farm-39,4.28,Clay,Drip
40,20,Farm-40,3.6,Black,Rain-fed
41,21,Farm-41,10.9,Red,Borewell
42,21,Farm-42,1.84,Clay,Drip
43,22,Farm-43,8.34,Clay,Rain-fed
44,22,Farm-44,2.68,Sandy,Sprinkler
45,23,Farm-45,4.98,Loamy,Borewell
46,23,Farm-46,4.57,Red,Drip
47,24,Farm-47,2.37,Clay,Rain-fed
48,24,Farm-48,4.57,Red,Sprinkler
49,25,Farm-49,5.08,Loamy,Sprinkler
50,25,Farm-50,3.05,Loamy,Drip
51,26,Farm-51,9.97,Red,Sprinkler
52,26,Farm-52,9.35,Loamy,Borewell
53,27,Farm-53,8.86,Red,Borewell
54,27,Farm-54,1.72,Black,Sprinkler
55,28,Farm-55,8.39,Sandy,Drip
56,28,Farm-56,8.03,Clay,Borewell
57,29,Farm-57,4.68,Loamy,Borewell
58,29,Farm-58,10.27,Clay,Canal
59,30,Farm-59,5.89,Red,Sprinkler
60,30,Farm-60,4.32,Loamy,Borewell
61,31,Farm-61,8.75,Black,Drip
62,31,Farm-62,8.95,Black,Borewell
63,32,Farm-63,9.37,Sandy,Sprinkler
64,32,Farm-64,9.97,Red,Canal
65,33,Farm-65,11.85,Clay,Borewell
66,33,Farm-66,10.65,Clay,Borewell
67,34,Farm-67,7,Red,Sprinkler
68,34,Farm-68,6.48,Red,Borewell
69,35,Farm-69,7.58,Loamy,Rain-fed
70,35,Farm-70,11.81,Red,Drip
71,36,Farm-71,4.59,Clay,Sprinkler
72,36,Farm-72,4.21,Loamy,Rain-fed
73,37,Farm-73,9.82,Sandy,Drip
74,37,Farm-74,4.14,Red,Borewell
75,38,Farm-75,3.02,Loamy,Sprinkler
76,38,Farm-76,5.38,Clay,Canal
77,39,Farm-77,4.26,Loamy,Borewell
78,39,Farm-78,2.61,Red,Sprinkler
79,40,Farm-79,2.28,Sandy,Drip
80,40,Farm-80,11.6,Black,Sprinkler
81,41,Farm-81,9.36,Red,Sprinkler
82,41,Farm-82,8.07,Red,Sprinkler
83,42,Farm-83,9.41,Sandy,Sprinkler
84,42,Farm-84,3.8,Clay,Drip
85,43,Farm-85,4.63,Black,Drip
86,43,Farm-86,9.77,Black,Sprinkler
87,44,Farm-87,1.26,Black,Sprinkler
88,44,Farm-88,1.15,Black,Drip
89,45,Farm-89,3.33,Clay,Sprinkler
90,45,Farm-90,4.77,Sandy,Drip
91,46,Farm-91,5.7,Clay,Borewell
92,46,Farm-92,11.17,Red,Sprinkler
93,47,Farm-93,5.03,Sandy,Canal
94,47,Farm-94,4.78,Sandy,Sprinkler
95,48,Farm-95,7.18,Red,Rain-fed
96,48,Farm-96,4.63,Loamy,Drip
97,49,Farm-97,10.74,Sandy,Canal
98,49,Farm-98,3.59,Loamy,Drip
99,50,Farm-99,1.37,Sandy,Drip
100,50,Farm-100,2.44,Red,Sprinkler
101,51,Farm-101,10.47,Black,Canal
102,51,Farm-102,3.12,Loamy,Rain-fed
103,52,Farm-103,6.69,Red,Drip
104,52,Farm-104,1.5,Black,Canal
105,53,Farm-105,1.94,Black,Canal
106,53,Farm-106,6.34,Sandy,Borewell
107,54,Farm-107,10.77,Clay,Borewell
108,54,Farm-108,7.85,Red,Drip
109,55,Farm-109,4.34,Sandy,Sprinkler
110,55,Farm-110,6.17,Red,Sprinkler
111,56,Farm-111,9.64,Loamy,Sprinkler
112,56,Farm-112,1.22,Red,Rain-fed
113,57,Farm-113,3.2,Sandy,Borewell
114,57,Farm-114,11.35,Clay,Rain-fed
115,58,Farm-115,9.52,Loamy,Borewell
116,58,Farm-116,9.41,Black,Drip
117,59,Farm-117,2.13,Sandy,Sprinkler
118,59,Farm-118,4.98,Clay,Rain-fed
119,60,Farm-119,2.15,Sandy,Canal
120,60,Farm-120,4.27,Red,Rain-fed
121,61,Farm-121,6.19,Black,Sprinkler
122,61,Farm-122,9.97,Clay,Drip
123,62,Farm-123,6.38,Clay,Drip
124,62,Farm-124,10.45,Sandy,Rain-fed
125,63,Farm-125,3.07,Clay,Canal
126,63,Farm-126,6.81,Clay,Borewell
127,64,Farm-127,2.39,Sandy,Rain-fed
128,64,Farm-128,5.82,Sandy,Sprinkler
129,65,Farm-129,4.03,Clay,Rain-fed
130,65,Farm-130,11.16,Black,Borewell
131,66,Farm-131,1.45,Loamy,Rain-fed
132,66,Farm-132,11.94,Loamy,Drip
133,67,Farm-133,2.61,Sandy,Sprinkler
134,67,Farm-134,2.44,Red,Sprinkler
135,68,Farm-135,11.41,Clay,Rain-fed
136,68,Farm-136,5.61,Clay,Borewell
137,69,Farm-137,11.98,Clay,Rain-fed
138,69,Farm-138,11.49,Clay,Rain-fed
139,70,Farm-139,8.65,Red,Rain-fed
140,70,Farm-140,2.92,Sandy,Rain-fed
141,71,Farm-141,9.82,Loamy,Borewell
142,71,Farm-142,10.64,Red,Sprinkler
143,72,Farm-143,3.93,Loamy,Canal
144,72,Farm-144,6.06,Black,Borewell
145,73,Farm-145,2.08,Sandy,Borewell
146,73,Farm-146,6.64,Sandy,Drip
147,74,Farm-147,2.51,Clay,Sprinkler
148,74,Farm-148,3.54,Loamy,Canal
149,75,Farm-149,1.52,Loamy,Canal
150,75,Farm-150,2.02,Red,Rain-fed
151,76,Farm-151,10.56,Loamy,Rain-fed
152,76,Farm-152,4.32,Loamy,Drip
153,77,Farm-153,7.1,Sandy,Rain-fed
154,77,Farm-154,9.53,Loamy,Canal
155,78,Farm-155,4.78,Loamy,Sprinkler
156,78,Farm-156,11.76,Clay,Drip
157,79,Farm-157,5.85,Clay,Sprinkler
158,79,Farm-158,8.13,Sandy,Borewell
159,80,Farm-159,7.19,Clay,Sprinkler
160,80,Farm-160,7.48,Red,Borewell
161,81,Farm-161,9.33,Sandy,Canal
162,81,Farm-162,2.42,Red,Rain-fed
163,82,Farm-163,1.74,Loamy,Borewell
164,82,Farm-164,6.71,Sandy,Rain-fed
165,83,Farm-165,2.62,Black,Sprinkler
166,83,Farm-166,4.27,Sandy,Canal
167,84,Farm-167,5.85,Black,Canal
168,84,Farm-168,5.35,Red,Drip
169,85,Farm-169,7.51,Black,Canal
170,85,Farm-170,3.63,Clay,Drip
171,86,Farm-171,10.61,Black,Rain-fed
172,86,Farm-172,8.41,Clay,Drip
173,87,Farm-173,10.2,Loamy,Rain-fed
174,87,Farm-174,3.8,Red,Rain-fed
175,88,Farm-175,5.26,Loamy,Drip
176,88,Farm-176,9.78,Black,Canal
177,89,Farm-177,4.84,Red,Drip
178,89,Farm-178,11.65,Red,Drip
179,90,Farm-179,1.75,Red,Borewell
180,90,Farm-180,6.21,Sandy,Drip
181,91,Farm-181,2.1,Sandy,Canal
182,91,Farm-182,5.63,Loamy,Borewell
183,92,Farm-183,11.22,Clay,Borewell
184,92,Farm-184,3.52,Black,Drip
185,93,Farm-185,7.3,Black,Canal
186,93,Farm-186,5.84,Loamy,Borewell
187,94,Farm-187,4.64,Clay,Sprinkler
188,94,Farm-188,10.59,Clay,Canal
189,95,Farm-189,3.75,Sandy,Drip
190,95,Farm-190,8.02,Black,Canal
191,96,Farm-191,5.93,Black,Borewell
192,96,Farm-192,3.26,Black,Borewell
193,97,Farm-193,7.8,Sandy,Sprinkler
194,97,Farm-194,3.8,Sandy,Sprinkler
195,98,Farm-195,5.91,Loamy,Sprinkler
196,98,Farm-196,3.88,Red,Drip
197,99,Farm-197,10.99,Loamy,Borewell
198,99,Farm-198,3.12,Loamy,Drip
199,100,Farm-199,8.98,Loamy,Rain-fed
200,100,Farm-200,10,Black,Rain-fed
201,101,Farm-201,10.38,Red,Drip
202,101,Farm-202,9.52,Clay,Rain-fed
203,102,Farm-203,10.09,Black,Drip
204,102,Farm-204,11.76,Sandy,Sprinkler
205,103,Farm-205,8.5,Red,Sprinkler
206,103,Farm-206,10.09,Loamy,Sprinkler
207,104,Farm-207,11.98,Red,Borewell
208,104,Farm-208,6.79,Loamy,Drip
209,105,Farm-209,2.95,Black,Borewell
210,105,Farm-210,3.92,Red,Drip
211,106,Farm-211,1.76,Black,Canal
212,106,Farm-212,3.33,Black,Borewell
213,107,Farm-213,6.49,Sandy,Drip
214,107,Farm-214,11.84,Black,Sprinkler
215,108,Farm-215,8.45,Clay,Borewell
216,108,Farm-216,8.19,Clay,Borewell
217,109,Farm-217,1.49,Loamy,Borewell
218,109,Farm-218,3.84,Sandy,Canal
219,110,Farm-219,10.04,Sandy,Rain-fed
220,110,Farm-220,3.12,Red,Borewell
221,111,Farm-221,9.29,Black,Rain-fed
222,111,Farm-222,1.51,Black,Sprinkler
223,112,Farm-223,11.9,Clay,Rain-fed
224,112,Farm-224,8.18,Black,Borewell
225,113,Farm-225,4.27,Clay,Drip
226,113,Farm-226,11.47,Sandy,Sprinkler
227,114,Farm-227,4.1,Black,Borewell
228,114,Farm-228,1.95,Clay,Canal
229,115,Farm-229,7.74,Black,Borewell
230,115,Farm-230,3.05,Red,Sprinkler
231,116,Farm-231,11.24,Loamy,Drip
232,116,Farm-232,10.52,Sandy,Borewell
233,117,Farm-233,4.25,Sandy,Canal
234,117,Farm-234,7.08,Clay,Drip
235,118,Farm-235,5.05,Sandy,Rain-fed
236,118,Farm-236,2.49,Red,Borewell
237,119,Farm-237,6.15,Clay,Sprinkler
238,119,Farm-238,10.14,Clay,Sprinkler
239,120,Farm-239,10.2,Clay,Borewell
240,120,Farm-240,1.66,Loamy,Drip
241,121,Farm-241,4.35,Clay,Borewell
242,121,Farm-242,8.55,Red,Drip
243,122,Farm-243,6.97,Black,Sprinkler
244,122,Farm-244,2.93,Red,Drip
245,123,Farm-245,5.9,Loamy,Drip
246,123,Farm-246,4.33,Loamy,Borewell
247,124,Farm-247,4.56,Loamy,Rain-fed
248,124,Farm-248,5.07,Clay,Borewell
249,125,Farm-249,4.63,Red,Canal
250,125,Farm-250,9.42,Sandy,Borewell
251,126,Farm-251,9.66,Sandy,Canal
252,126,Farm-252,7.24,Sandy,Canal
253,127,Farm-253,2.67,Black,Sprinkler
254,127,Farm-254,10.5,Clay,Borewell
255,128,Farm-255,2.08,Loamy,Rain-fed
256,128,Farm-256,9.76,Black,Sprinkler
257,129,Farm-257,1.61,Black,Canal
258,129,Farm-258,5.09,Black,Drip
259,130,Farm-259,11.16,Red,Rain-fed
260,130,Farm-260,8.18,Clay,Sprinkler
261,131,Farm-261,4.34,Sandy,Canal
262,131,Farm-262,9.2,Clay,Sprinkler
263,132,Farm-263,8.82,Sandy,Rain-fed
264,132,Farm-264,8.52,Black,Borewell
265,133,Farm-265,7.11,Black,Rain-fed
266,133,Farm-266,4.01,Clay,Sprinkler
267,134,Farm-267,7.91,Loamy,Rain-fed
268,134,Farm-268,1.43,Sandy,Sprinkler
269,135,Farm-269,7.09,Sandy,Drip
270,135,Farm-270,5.51,Sandy,Borewell
271,136,Farm-271,1.99,Loamy,Canal
272,136,Farm-272,8.48,Red,Borewell
273,137,Farm-273,9.87,Clay,Drip
274,137,Farm-274,1.57,Clay,Drip
275,138,Farm-275,9.29,Loamy,Rain-fed
276,138,Farm-276,6.84,Loamy,Drip
277,139,Farm-277,10.37,Sandy,Rain-fed
278,139,Farm-278,11.65,Black,Canal
279,140,Farm-279,11.57,Loamy,Sprinkler
280,140,Farm-280,4.35,Red,Canal
281,141,Farm-281,5,Loamy,Borewell
282,141,Farm-282,5.96,Sandy,Borewell
283,142,Farm-283,9.85,Sandy,Sprinkler
284,142,Farm-284,11.56,Clay,Rain-fed
285,143,Farm-285,7.07,Sandy,Drip
286,143,Farm-286,1.1,Red,Rain-fed
287,144,Farm-287,5.1,Clay,Rain-fed
288,144,Farm-288,1.5,Clay,Rain-fed
289,145,Farm-289,1.84,Sandy,Rain-fed
290,145,Farm-290,4.54,Black,Rain-fed
291,146,Farm-291,8.12,Red,Borewell
292,146,Farm-292,10.22,Sandy,Rain-fed
293,147,Farm-293,7.38,Sandy,Borewell
294,147,Farm-294,6.93,Red,Drip
295,148,Farm-295,10.09,Clay,Rain-fed
296,148,Farm-296,2.36,Black,Drip
297,149,Farm-297,6.96,Loamy,Drip
298,149,Farm-298,3.44,Loamy,Sprinkler
299,150,Farm-299,1.26,Black,Sprinkler
300,150,Farm-300,1.62,Sandy,Rain-fed
301,151,Farm-301,4.31,Sandy,Rain-fed
302,151,Farm-302,7.57,Black,Borewell
303,152,Farm-303,8.58,Loamy,Rain-fed
304,152,Farm-304,6,Black,Rain-fed
305,153,Farm-305,1.44,Red,Borewell
306,153,Farm-306,4.55,Sandy,Canal
307,154,Farm-307,10.39,Red,Drip
308,154,Farm-308,3.54,Black,Borewell
309,155,Farm-309,11.83,Clay,Sprinkler
310,155,Farm-310,1.07,Black,Sprinkler
311,156,Farm-311,5.26,Clay,Sprinkler
312,156,Farm-312,4.63,Black,Sprinkler
313,157,Farm-313,2.56,Clay,Borewell
314,157,Farm-314,10.32,Clay,Rain-fed
315,158,Farm-315,6.97,Black,Drip
316,158,Farm-316,11.3,Clay,Canal
317,159,Farm-317,5.11,Red,Borewell
318,159,Farm-318,3.84,Black,Sprinkler
319,160,Farm-319,6.88,Clay,Borewell
320,160,Farm-320,3.9,Sandy,Sprinkler
321,161,Farm-321,1.8,Sandy,Rain-fed
322,161,Farm-322,10.65,Black,Canal
323,162,Farm-323,4.81,Clay,Sprinkler
324,162,Farm-324,3.8,Black,Canal
325,163,Farm-325,7.4,Loamy,Borewell
326,163,Farm-326,8.79,Red,Canal
327,164,Farm-327,7.54,Black,Canal
328,164,Farm-328,6.86,Black,Sprinkler
329,165,Farm-329,2.08,Clay,Rain-fed
330,165,Farm-330,5.94,Loamy,Drip
331,166,Farm-331,11.19,Sandy,Sprinkler
332,166,Farm-332,11.29,Black,Rain-fed
333,167,Farm-333,8.37,Black,Rain-fed
334,167,Farm-334,7.81,Sandy,Drip
335,168,Farm-335,1.93,Clay,Borewell
336,168,Farm-336,6.91,Sandy,Canal
337,169,Farm-337,2.61,Red,Sprinkler
338,169,Farm-338,3.04,Red,Borewell
339,170,Farm-339,4.25,Loamy,Canal
340,170,Farm-340,8.5,Sandy,Drip
341,171,Farm-341,2.41,Red,Borewell
342,171,Farm-342,10.48,Loamy,Canal
343,172,Farm-343,11.83,Clay,Borewell
344,172,Farm-344,10.31,Black,Canal
345,173,Farm-345,1.66,Black,Drip
346,173,Farm-346,3.66,Clay,Rain-fed
347,174,Farm-347,3.3,Clay,Drip
348,174,Farm-348,2.18,Loamy,Canal
349,175,Farm-349,5.83,Clay,Sprinkler
350,175,Farm-350,5.78,Red,Drip
351,176,Farm-351,9.75,Red,Drip
352,176,Farm-352,4.56,Red,Drip
353,177,Farm-353,6.89,Clay,Rain-fed
354,177,Farm-354,7.17,Red,Canal
355,178,Farm-355,1.81,Loamy,Sprinkler
356,178,Farm-356,10.38,Clay,Borewell
357,179,Farm-357,8.44,Red,Rain-fed
358,179,Farm-358,11.74,Red,Drip
359,180,Farm-359,7.7,Red,Rain-fed
360,180,Farm-360,3.05,Red,Sprinkler
361,181,Farm-361,7.05,Sandy,Borewell
362,181,Farm-362,2.76,Black,Drip
363,182,Farm-363,7.56,Loamy,Drip
364,182,Farm-364,5.9,Red,Borewell
365,183,Farm-365,11.33,Red,Borewell
366,183,Farm-366,8.17,Loamy,Drip
367,184,Farm-367,3.51,Black,Canal
368,184,Farm-368,1.78,Clay,Rain-fed
369,185,Farm-369,2.98,Red,Rain-fed
370,185,Farm-370,1.02,Clay,Borewell
371,186,Farm-371,1.4,Red,Drip
372,186,Farm-372,1.3,Sandy,Drip
373,187,Farm-373,3.23,Black,Rain-fed
374,187,Farm-374,4.58,Loamy,Sprinkler
375,188,Farm-375,8.14,Loamy,Borewell
376,188,Farm-376,11.25,Loamy,Canal
377,189,Farm-377,11.36,Black,Borewell
378,189,Farm-378,1.64,Black,Canal
379,190,Farm-379,7.71,Clay,Canal
380,190,Farm-380,9.57,Red,Borewell
381,191,Farm-381,10.19,Red,Sprinkler
382,191,Farm-382,11.9,Clay,Borewell
383,192,Farm-383,8.7,Loamy,Borewell
384,192,Farm-384,1.39,Red,Sprinkler
385,193,Farm-385,7.28,Sandy,Rain-fed
386,193,Farm-386,1.22,Black,Sprinkler
387,194,Farm-387,1.2,Clay,Rain-fed
388,194,Farm-388,9.96,Clay,Borewell
389,195,Farm-389,5.59,Clay,Rain-fed
390,195,Farm-390,9.9,Clay,Canal
391,196,Farm-391,3.96,Red,Canal
392,196,Farm-392,10.65,Sandy,Borewell
393,197,Farm-393,11.52,Red,Drip
394,197,Farm-394,2.32,Black,Borewell
395,198,Farm-395,1.02,Sandy,Rain-fed
396,198,Farm-396,8.64,Sandy,Borewell
397,199,Farm-397,2.82,Sandy,Canal
398,199,Farm-398,1.9,Loamy,Drip
399,200,Farm-399,2.92,Black,Rain-fed
400,200,Farm-400,11.87,Clay,Sprinkler
401,201,Farm-401,5.78,Loamy,Borewell
402,201,Farm-402,11.97,Red,Drip
403,202,Farm-403,8.72,Sandy,Canal
404,202,Farm-404,9.44,Black,Rain-fed
405,203,Farm-405,3.27,Red,Drip
406,203,Farm-406,4.4,Black,Rain-fed
407,204,Farm-407,7.31,Red,Borewell
408,204,Farm-408,5.23,Clay,Canal
409,205,Farm-409,2.16,Sandy,Canal
410,205,Farm-410,6.35,Clay,Borewell
411,206,Farm-411,1.35,Clay,Drip
412,206,Farm-412,10.08,Sandy,Borewell
413,207,Farm-413,3.5,Sandy,Rain-fed
414,207,Farm-414,5.34,Black,Sprinkler
415,208,Farm-415,2.63,Black,Rain-fed
416,208,Farm-416,11.26,Loamy,Rain-fed
417,209,Farm-417,3.91,Sandy,Rain-fed
