Price_ID,Market_ID,Crop_ID,Price_Date,Price_per_KG
1,126,54,2023-03-22,108.56
2,20,98,2024-10-04,89.86
3,90,77,2025-10-14,39.21
4,117,9,2023-07-11,29.4
5,122,90,2023-05-14,69.37
6,80,83,2025-07-01,22.75
7,99,86,2024-12-11,74.16
8,119,46,2023-12-11,89.76
9,127,8,2024-03-22,99.77
10,34,95,2024-05-22,83.44
11,128,11,2023-12-07,86.37
12,141,36,2023-10-08,18.89
13,141,36,2025-04-30,24.46
14,98,30,2023-11-06,80.95
15,39,30,2024-04-22,99.12
16,47,34,2024-07-31,76.86
17,108,69,2025-01-26,76.4
18,82,17,2025-11-21,68.37
19,14,59,2025-03-14,91.84
20,101,14,2025-09-13,36.66
21,16,25,2023-05-18,144.01
22,113,21,2023-08-14,22.65
23,14,14,2023-01-01,42.22
24,138,13,2025-01-14,85.6
25,19,27,2025-02-09,31.22
26,65,45,2025-01-15,30.76
27,30,63,2025-08-12,19.18
28,80,11,2023-10-23,69.16
29,88,95,2024-06-26,82.81
30,42,67,2023-02-17,101.32
31,136,47,2023-10-28,50.55
32,7,98,2025-12-17,105.53
33,24,90,2024-06-18,73.38
34,43,46,2024-04-01,97.22
35,129,43,2024-04-01,39.31
36,50,31,2025-03-31,99.24
37,59,26,2025-11-26,84.2
38,8,4,2024-07-26,95.26
39,50,89,2024-12-06,96.62
40,90,47,2023-06-14,50.16
41,59,61,2024-02-07,24.83
42,124,80,2023-01-04,103.38
43,89,83,2023-06-23,28.23
44,31,50,2024-02-13,105.53
45,46,56,2024-11-11,32.89
46,102,60,2025-04-02,120.76
47,22,93,2023-11-22,20.12
48,33,4,2023-11-06,88.26
49,120,84,2023-10-27,76.24
50,122,85,2024-12-18,46.69
51,141,17,2023-02-13,65.67
52,27,68,2023-10-13,73.74
53,50,28,2023-02-27,42.74
54,75,65,2024-05-07,47.34
55,84,34,2025-05-08,103.1
56,16,95,2024-12-25,86.33
57,150,67,2025-05-11,112.84
58,129,17,2025-12-25,66.89
59,131,3,2025-06-20,67.41
60,2,100,2023-11-03,27.71
61,122,80,2023-09-04,91.05
62,84,88,2025-11-27,53.94
63,124,100,2023-08-06,33.75
64,15,32,2024-01-27,22.15
65,26,65,2025-07-15,40.76
66,17,57,2024-10-28,57.8
67,130,78,2025-11-14,94.58
68,71,58,2025-11-06,23.55
69,123,65,2024-05-22,44.93
70,67,72,2024-02-19,87.95
71,36,54,2023-09-07,77.39
72,81,10,2024-05-07,63.31
73,55,86,2024-09-12,76.74
74,40,92,2025-01-19,84.29
75,36,60,2024-03-25,125.74
76,25,51,2025-09-24,31.21
77,58,21,2025-06-02,31.14
78,104,44,2025-05-12,85.26
79,82,12,2025-01-19,20.03
80,142,59,2025-06-21,87.65
81,99,43,2025-11-25,32.72
82,132,9,2023-08-20,26.14
83,59,14,2023-06-22,42.45
84,11,100,2024-01-07,31.59
85,34,55,2024-06-13,96.57
86,138,66,2025-10-09,73.63
87,23,36,2023-04-28,24.16
88,47,55,2023-05-29,99.51
89,5,82,2023-07-01,48.83
90,22,78,2024-03-31,115.1
91,32,59,2023-01-24,83.64
92,142,54,2024-07-02,87.17
93,12,68,2024-05-03,96.45
94,42,34,2023-04-14,90.29
95,80,81,2024-09-16,96.26
96,53,38,2025-07-01,19.62
97,46,35,2024-12-11,66.95
98,65,5,2023-02-01,20.17
99,130,71,2024-01-24,54.92
100,63,58,2023-08-06,25.42
101,111,85,2025-10-10,45.26
102,101,65,2024-09-22,35.98
103,59,44,2024-02-11,100.56
104,36,52,2024-12-12,29.87
105,34,2,2023-05-25,37
106,66,56,2023-12-01,33.76
107,98,65,2024-07-31,40.47
108,76,6,2025-07-29,21.47
109,69,58,2023-01-08,27.19
110,85,71,2024-10-24,46.46
111,80,28,2024-12-31,38.34
112,86,49,2023-06-21,122.16
113,129,84,2024-02-16,94.46
114,2,12,2024-06-25,22.95
115,37,52,2023-03-27,31.3
116,77,39,2024-04-21,89.47
117,136,97,2023-11-14,34.25
118,100,98,2024-10-29,98.53
119,127,20,2024-08-04,44.74
120,38,6,2025-11-16,23.22
121,130,18,2025-12-08,64.72
122,146,3,2024-04-15,67.19
123,11,18,2025-01-08,72.45
124,97,58,2023-04-14,31.55
125,137,88,2024-05-15,64.12
126,1,59,2023-05-24,91.98
127,129,69,2023-07-08,73.05
128,17,96,2025-08-28,59.31
129,20,34,2024-04-25,98.09
130,53,30,2025-07-31,87.56
131,98,10,2025-09-08,60.45
132,74,99,2023-04-06,65.79
133,51,10,2023-10-29,50.59
134,78,80,2023-10-01,85.07
135,16,63,2024-07-04,24.14
136,26,89,2024-03-21,126.25
137,75,91,2025-11-23,45.25
138,120,60,2023-08-31,99.18
139,141,26,2024-09-30,80.53
140,122,3,2024-08-16,57.15
141,130,58,2024-07-04,24.89
142,54,10,2023-07-04,55.77
143,135,34,2025-01-06,83.48
144,131,36,2023-08-19,19.11
145,60,64,2025-09-22,77.04
146,41,1,2025-10-03,49.03
147,104,39,2023-10-16,74.01
148,97,41,2023-09-05,50.51
149,1,42,2024-11-23,64.73
150,31,26,2023-01-25,94.74
151,75,33,2025-02-01,85.39
152,100,76,2023-06-06,51.44
153,110,97,2024-07-17,35.39
154,72,14,2023-04-16,48.52
155,74,82,2023-11-01,38.8
156,69,56,2025-11-12,35.56
157,96,55,2023-03-01,113.62
158,103,71,2024-02-21,61.54
159,13,94,2025-04-21,32.4
160,36,83,2024-08-09,23.28
161,141,17,2023-12-16,64.78
162,88,37,2024-09-01,37.68
163,67,52,2024-05-03,30.2
164,143,86,2025-03-18,82.89
165,42,10,2024-03-01,65.34
166,128,71,2024-03-26,62.82
167,86,98,2025-07-10,108.55
168,141,25,2024-05-14,115.03
169,88,72,2023-07-06,72.78
170,95,34,2024-02-18,104.49
171,106,50,2025-04-27,119.8
172,54,49,2024-07-07,112.47
173,16,64,2024-07-22,92.17
174,93,17,2025-10-27,61.55
175,56,12,2024-07-09,23.56
176,99,52,2025-07-02,28.69
177,80,3,2023-09-18,49.42
178,122,76,2025-09-30,40.72
179,101,68,2025-08-16,79.82
180,64,14,2024-04-03,43.35
181,134,88,2023-08-12,57.58
182,118,11,2023-03-22,92.28
183,33,30,2023-03-18,106.96
184,78,17,2024-05-30,77
185,112,90,2023-08-18,58.62
186,77,68,2024-01-28,87.37
187,58,77,2023-01-03,43.01
188,78,59,2024-07-24,91.07
189,63,61,2025-12-13,20.56
