Sales_ID,Production_ID,Market_ID,Sales_Date,Quantity_Sold_KG
1,1,1,2026-04-01,1493.97
2,1,20,2026-06-17,1493.98
3,2,47,2026-01-07,1386.18
4,2,44,2026-03-27,1386.18
5,3,6,2026-06-27,515.69
6,3,20,2026-06-01,515.69
7,4,61,2026-07-07,904.92
8,4,12,2026-06-22,904.91
9,5,32,2026-03-21,1890.29
10,5,55,2026-01-25,1890.3
11,6,7,2026-06-01,585.41
12,6,4,2026-07-10,585.41
13,7,55,2026-04-23,691.1
14,7,24,2026-04-06,691.11
15,8,9,2026-02-08,1921.23
16,8,51,2026-01-04,1921.23
17,9,22,2026-03-19,815.99
18,9,6,2026-05-23,816
19,10,59,2026-01-28,1160.49
20,10,14,2026-02-04,1160.49
21,11,39,2026-05-21,1734.05
22,11,67,2026-06-18,1734.05
23,12,43,2026-01-06,1882.42
24,12,20,2026-03-10,1882.42
25,13,8,2026-06-22,1026.81
26,13,24,2026-01-17,1026.81
27,14,62,2026-05-13,1230.16
28,14,17,2026-07-13,1230.16
29,15,23,2026-03-25,1248.32
30,15,64,2026-07-12,1248.33
31,16,15,2026-05-26,1246.9
32,16,68,2026-07-03,1246.89
33,17,32,2026-01-13,683.59
34,17,22,2026-02-16,683.59
35,18,54,2026-04-17,1841.36
36,18,47,2026-06-24,1841.36
37,19,2,2026-07-25,1594.53
38,19,23,2026-05-16,1594.53
39,20,58,2026-06-25,828.38
40,20,20,2026-06-18,828.39
41,21,42,2026-03-26,1255.41
42,21,5,2026-05-13,1255.41
43,22,29,2026-07-03,1810.36
44,22,55,2026-02-07,1810.35
45,23,36,2026-05-24,1962.47
46,23,34,2026-05-21,1962.48
47,24,25,2026-01-16,1696.4
48,24,4,2026-05-04,1696.4
49,25,17,2026-02-01,1492.52
50,25,20,2026-03-18,1492.53
51,26,1,2026-06-15,1148.39
52,26,43,2026-03-27,1148.38
53,27,42,2026-07-18,1452.17
54,27,47,2026-03-21,1452.18
55,28,61,2026-04-16,1598.97
56,28,22,2026-03-02,1598.96
57,29,29,2026-01-17,913.86
58,29,63,2026-07-07,913.86
59,30,13,2026-05-16,770.75
60,30,27,2026-05-07,770.75
61,31,5,2026-01-23,1887.81
62,31,53,2026-05-20,1887.8
63,32,52,2026-03-20,1815.08
64,32,2,2026-05-04,1815.07
65,33,11,2026-06-18,1890.06
66,33,28,2026-04-14,1890.06
67,34,25,2026-02-12,1811.83
68,34,14,2026-02-10,1811.84
69,35,30,2026-02-23,768.14
70,35,15,2026-06-26,768.14
71,36,14,2026-02-11,1003.19
72,36,64,2026-07-17,1003.18
