Market_ID,Market_Code,Market_Name,Village,District,State,Contact_Number,Market_Type
1,MKT0001,Coimbatore APMC,Thudiyalur,Coimbatore,Tamil Nadu,6022768040,APMC
2,MKT0002,Erode Turmeric Market,Perundurai,Erode,Tamil Nadu,7501652580,Commodity
3,MKT0003,Salem Agricultural Market,Attur,Salem,Tamil Nadu,9319300868,APMC
4,MKT0004,Madurai Flower Market,Sholavandan,Madurai,Tamil Nadu,6935868570,Flower
5,MKT0005,Tiruchirappalli APMC,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,8988348136,APMC
6,MKT0006,Thanjavur Paddy Market,Kumbakonam,Thanjavur,Tamil Nadu,7524296237,Paddy
7,MKT0007,Dindigul Vegetable Market,Palani,Dindigul,Tamil Nadu,7884095724,Vegetable
8,MKT0008,Tirunelveli APMC,Tirunelveli,Tirunelveli,Tamil Nadu,7225258329,APMC
9,MKT0009,Vellore Agricultural Market,Arcot,Vellore,Tamil Nadu,9001674039,APMC
10,MKT0010,Namakkal Poultry Market,Tiruchengode,Namakkal,Tamil Nadu,8980765261,Poultry
11,MKT0011,Karur Agricultural Market,Krishnarayapuram,Karur,Tamil Nadu,7498251982,APMC
12,MKT0012,Cuddalore Paddy Market,Neyveli,Cuddalore,Tamil Nadu,7175750309,Paddy
13,MKT0013,Theni Vegetable Market,Theni,Theni,Tamil Nadu,7089040771,Vegetable
14,MKT0014,Kanyakumari Coconut Market,Kanyakumari,Kanyakumari,Tamil Nadu,7284257239,Coconut
15,MKT0015,Dharmapuri Mango Market,Dharmapuri,Dharmapuri,Tamil Nadu,9842005507,Fruit
16,MKT0016,Krishnagiri Mango Market,Krishnagiri,Krishnagiri,Tamil Nadu,7003524578,Fruit
17,MKT0017,Nilgiris Tea Market,Nilgiris,Nilgiris,Tamil Nadu,7781044476,Tea
18,MKT0018,Sivagangai Agricultural Market,Sivagangai,Sivagangai,Tamil Nadu,6438214422,APMC
19,MKT0019,Ramanathapuram APMC,Ramanathapuram,Ramanathapuram,Tamil Nadu,9880650072,APMC
20,MKT0020,Virudhunagar Chilli Market,Virudhunagar,Virudhunagar,Tamil Nadu,9489103972,Spices
21,MKT0021,Guntur Mirchi Yard,Guntur,Guntur,Andhra Pradesh,7120703049,Spices
22,MKT0022,Vijayawada APMC,Vijayawada,Vijayawada,Andhra Pradesh,6901562182,APMC
23,MKT0023,Kurnool Agricultural Market,Kurnool,Kurnool,Andhra Pradesh,6455927236,APMC
24,MKT0024,Anantapur Groundnut Market,Anantapur,Anantapur,Andhra Pradesh,9370499022,Groundnut
25,MKT0025,Visakhapatnam Agricultural Market,Visakhapatnam,Visakhapatnam,Andhra Pradesh,6831876960,APMC
26,MKT0026,Nellore Paddy Market,Nellore,Nellore,Andhra Pradesh,6911152672,Paddy
27,MKT0027,Tirupati Vegetable Market,Tirupati,Tirupati,Andhra Pradesh,9290680319,Vegetable
28,MKT0028,Warangal Cotton Market,Warangal,Warangal,Telangana,9540089585,Cotton
29,MKT0029,Karimnagar Paddy Market,Karimnagar,Karimnagar,Telangana,9138788221,Paddy
30,MKT0030,Nizamabad Turmeric Market,Nizamabad,Nizamabad,Telangana,7921714197,Turmeric
31,MKT0031,Hyderabad APMC,Hyderabad,Hyderabad,Telangana,7271882843,APMC
32,MKT0032,Khammam Chilli Market,Khammam,Khammam,Telangana,7013892639,Spices
33,MKT0033,Adilabad Cotton Market,Adilabad,Adilabad,Telangana,6191921473,Cotton
34,MKT0034,Bengaluru APMC,Bengaluru,Bengaluru,Karnataka,9810458697,APMC
35,MKT0035,Mysuru Agricultural Market,Mysuru,Mysuru,Karnataka,8499661956,APMC
36,MKT0036,Hubballi APMC,Dharwad,Dharwad,Karnataka,9651637154,APMC
37,MKT0037,Belagavi Sugarcane Market,Belagavi,Belagavi,Karnataka,8245644249,Sugarcane
38,MKT0038,Shivamogga Paddy Market,Shivamogga,Shivamogga,Karnataka,6266092381,Paddy
39,MKT0039,Davanagere Cotton Market,Davanagere,Davanagere,Karnataka,7967485733,Cotton
40,MKT0040,Ballari Agricultural Market,Ballari,Ballari,Karnataka,6888728645,APMC
41,MKT0041,Hassan Coffee Market,Hassan,Hassan,Karnataka,9145537488,Coffee
42,MKT0042,Chikkamagaluru Coffee Market,Chikkamagaluru,Chikkamagaluru,Karnataka,9874226756,Coffee
43,MKT0043,Mandya Sugar Market,Mandya,Mandya,Karnataka,9022351267,Sugarcane
44,MKT0044,Kozhikode Spice Market,Kozhikode,Kozhikode,Kerala,9454249568,Spices
45,MKT0045,Kochi Spice Market,Ernakulam,Ernakulam,Kerala,9037894756,Spices
46,MKT0046,Thrissur Agricultural Market,Thrissur,Thrissur,Kerala,9240364141,APMC
47,MKT0047,Palakkad Paddy Market,Palakkad,Palakkad,Kerala,9560481234,Paddy
48,MKT0048,Idukki Cardamom Market,Idukki,Idukki,Kerala,9294847092,Spices
49,MKT0049,Wayanad Pepper Market,Wayanad,Wayanad,Kerala,6791011652,Pepper
50,MKT0050,Kannur Coconut Market,Kannur,Kannur,Kerala,8167189103,Coconut
51,MKT0051,Lasalgaon Onion Market,Nashik,Nashik,Maharashtra,9915826368,Onion
52,MKT0052,Pune Agricultural Market,Pune,Pune,Maharashtra,8560604443,APMC
53,MKT0053,Nagpur Orange Market,Nagpur,Nagpur,Maharashtra,7479285447,Fruit
54,MKT0054,Vashi APMC,Navi Mumbai,Navi Mumbai,Maharashtra,8880824630,APMC
55,MKT0055,Kolhapur Jaggery Market,Kolhapur,Kolhapur,Maharashtra,7432258551,Jaggery
56,MKT0056,Aurangabad Cotton Market,Aurangabad,Aurangabad,Maharashtra,9476647026,Cotton
57,MKT0057,Solapur Grain Market,Solapur,Solapur,Maharashtra,8454737221,Grains
58,MKT0058,Amravati Cotton Market,Amravati,Amravati,Maharashtra,8157124795,Cotton
59,MKT0059,Jalgaon Banana Market,Jalgaon,Jalgaon,Maharashtra,6823371002,Fruit
60,MKT0060,Latur Pulse Market,Latur,Latur,Maharashtra,9102439281,Pulses
61,MKT0061,Sangli Turmeric Market,Sangli,Sangli,Maharashtra,9456189025,Turmeric
62,MKT0062,Akola Soybean Market,Akola,Akola,Maharashtra,7739254509,Oilseeds
63,MKT0063,Ahmednagar Sugar Market,Ahmednagar,Ahmednagar,Maharashtra,7620251464,Sugarcane
64,MKT0064,Yavatmal Cotton Market,Yavatmal,Yavatmal,Maharashtra,7228022758,Cotton
65,MKT0065,Satara Vegetable Market,Satara,Satara,Maharashtra,9121210758,Vegetable
66,MKT0066,Ahmedabad APMC,Ahmedabad,Ahmedabad,Gujarat,9166954004,APMC
67,MKT0067,Rajkot Groundnut Market,Rajkot,Rajkot,Gujarat,8026850785,Groundnut
68,MKT0068,Surat Vegetable Market,Surat,Surat,Gujarat,9542948944,Vegetable
69,MKT0069,Vadodara Grain Market,Vadodara,Vadodara,Gujarat,6836298543,Grains
70,MKT0070,Junagadh Groundnut Market,Junagadh,Junagadh,Gujarat,6945965413,Groundnut
71,MKT0071,Bhavnagar Cotton Market,Bhavnagar,Bhavnagar,Gujarat,9725946196,Cotton
72,MKT0072,Mehsana Cumin Market,Mehsana,Mehsana,Gujarat,7304281961,Spices
73,MKT0073,Gandhinagar Agricultural Market,Gandhinagar,Gandhinagar,Gujarat,8444411571,APMC
74,MKT0074,Jamnagar Sesame Market,Jamnagar,Jamnagar,Gujarat,8783720785,Oilseeds
75,MKT0075,Anand Tobacco Market,Anand,Anand,Gujarat,7443739892,Tobacco
76,MKT0076,Jaipur Agricultural Market,Jaipur,Jaipur,Rajasthan,7843493976,APMC
77,MKT0077,Kota Soybean Market,Kota,Kota,Rajasthan,9919318090,Oilseeds
78,MKT0078,Udaipur Maize Market,Udaipur,Udaipur,Rajasthan,9890726303,Maize
79,MKT0079,Jodhpur Cumin Market,Jodhpur,Jodhpur,Rajasthan,8684562622,Spices
80,MKT0080,Bikaner Mustard Market,Bikaner,Bikaner,Rajasthan,9977112030,Mustard
81,MKT0081,Ajmer Grain Market,Ajmer,Ajmer,Rajasthan,8424611636,Grains
82,MKT0082,Alwar Vegetable Market,Alwar,Alwar,Rajasthan,7264684250,Vegetable
83,MKT0083,Sikar Mustard Market,Sikar,Sikar,Rajasthan,8642813425,Mustard
84,MKT0084,Ganganagar Cotton Market,Sri Ganganagar,Sri Ganganagar,Rajasthan,8083087997,Cotton
85,MKT0085,Bhilwara Soybean Market,Bhilwara,Bhilwara,Rajasthan,7636667686,Oilseeds
