Supplier_ID,Supplier_Name,Supplier_Type,Representative,Phone,Email,Village,District,State,Registration_Date
1,Farm Tamil Seeds,Equipment Dealer,Karthik Selvi,9386209980,farmtamilseeds@agro.in,Village-28,Coimbatore,Tamil Nadu,2020-06-05
2,Future Tamil Corporation,Pesticide Supplier,Deepak Raman,9155728978,futuretamilcorporation@agro.in,Village-41,Trichy,Tamil Nadu,2021-07-07
3,Harvest Tamil Supplies,Multi-Service Agro Center,Akash Joseph,9101793741,harvesttamilsupplies@agro.in,Village-112,Trichy,Tamil Nadu,2020-12-24
4,National Tamil Agro,Seed Supplier,Suresh Reddy,9886021164,nationaltamilagro@agro.in,Village-115,Madurai,Tamil Nadu,2021-02-21
5,Prime Tamil Inputs,Pesticide Supplier,Lakshmi Joseph,9413319489,primetamilinputs@agro.in,Village-111,Coimbatore,Tamil Nadu,2025-05-07
6,Green Tamil Industries,Multi-Service Agro Center,Manoj Prakash,9660139163,greentamilindustries@agro.in,Village-124,Madurai,Tamil Nadu,2022-04-27
7,Golden Tamil Corporation,Equipment Dealer,Nandhini Nair,9527604957,goldentamilcorporation@agro.in,Village-197,Trichy,Tamil Nadu,2025-10-01
8,Future Karnataka Center,Seed Supplier,Nandhini Nair,9647679432,futurekarnatakacenter@agro.in,Village-9,Hubballi,Karnataka,2022-01-13
9,Farm Karnataka Inputs,Seed Supplier,Keerthi Raman,9461760963,farmkarnatakainputs@agro.in,Village-142,Hubballi,Karnataka,2024-05-21
10,Shakti Karnataka Corporation,Pesticide Supplier,Vijay Patel,9303003632,shaktikarnatakacorporation@agro.in,Village-151,Hubballi,Karnataka,2020-12-27
11,Harvest Karnataka Supplies,Pesticide Supplier,Gokul Kumar,9671227953,harvestkarnatakasupplies@agro.in,Village-129,Bengaluru,Karnataka,2020-09-01
12,Agri Karnataka Solutions,Equipment Dealer,Gayathri Gowda,9265100343,agrikarnatakasolutions@agro.in,Village-138,Hubballi,Karnataka,2024-12-25
13,Green Karnataka Agro,Pesticide Supplier,Suresh Gowda,9589991690,greenkarnatakaagro@agro.in,Village-50,Hubballi,Karnataka,2020-03-27
14,Farm Karnataka Center,Multi-Service Agro Center,Anitha Naidu,9551355234,farmkarnatakacenter@agro.in,Village-1,Belagavi,Karnataka,2021-03-20
15,Future Kerala Corporation,Seed Supplier,Ramesh Joseph,9195336363,futurekeralacorporation@agro.in,Village-22,Kochi,Kerala,2024-11-09
16,Shakti Kerala Seeds,Seed Supplier,Arun Naidu,9845397924,shaktikeralaseeds@agro.in,Village-163,Palakkad,Kerala,2024-07-13
17,Farm Kerala Solutions,Equipment Dealer,Ramesh Pillai,9906181402,farmkeralasolutions@agro.in,Village-144,Thrissur,Kerala,2023-10-03
18,Green Kerala Inputs,Pesticide Supplier,Rohit Gupta,9168984156,greenkeralainputs@agro.in,Village-184,Thrissur,Kerala,2021-08-12
19,Agri Kerala Seeds,Equipment Dealer,Nandhini Das,9161374232,agrikeralaseeds@agro.in,Village-195,Palakkad,Kerala,2025-10-25
20,Farm Kerala Inputs,Pesticide Supplier,Ajay Das,9929413425,farmkeralainputs@agro.in,Village-75,Palakkad,Kerala,2024-05-13
21,Future Kerala Seeds,Equipment Dealer,Karthik Naidu,9279101976,futurekeralaseeds@agro.in,Village-151,Kochi,Kerala,2024-05-01
22,Prime Andhra Solutions,Equipment Dealer,Meena Nair,9122132345,primeandhrasolutions@agro.in,Village-90,Guntur,Andhra Pradesh,2025-01-16
23,Shakti Andhra Agro,Multi-Service Agro Center,Gayathri Verma,9660053831,shaktiandhraagro@agro.in,Village-84,Kurnool,Andhra Pradesh,2025-10-17
24,Prime Andhra Corporation,Fertilizer Supplier,Meena Pillai,9212504013,primeandhracorporation@agro.in,Village-140,Vijayawada,Andhra Pradesh,2024-02-20
25,Harvest Andhra Seeds,Pesticide Supplier,Akash Iyer,9643637085,harvestandhraseeds@agro.in,Village-63,Vijayawada,Andhra Pradesh,2022-04-12
26,Future Andhra Seeds,Fertilizer Supplier,Akash Joseph,9642380292,futureandhraseeds@agro.in,Village-52,Kurnool,Andhra Pradesh,2020-03-11
27,Golden Andhra Supplies,Pesticide Supplier,Aishwarya Naidu,9744354484,goldenandhrasupplies@agro.in,Village-82,Kurnool,Andhra Pradesh,2020-12-09
28,Future Andhra Inputs,Equipment Dealer,Praveen Babu,9245434017,futureandhrainputs@agro.in,Village-124,Vijayawada,Andhra Pradesh,2025-07-09
29,Farm Telangana Solutions,Fertilizer Supplier,Rahul Das,9525001309,farmtelanganasolutions@agro.in,Village-58,Hyderabad,Telangana,2025-08-15
30,Green Telangana Solutions,Seed Supplier,Naveen Kumar,9847090418,greentelanganasolutions@agro.in,Village-150,Karimnagar,Telangana,2021-05-16
31,Krishi Telangana Corporation,Fertilizer Supplier,Dinesh Reddy,9551789407,krishitelanganacorporation@agro.in,Village-81,Warangal,Telangana,2024-01-09
32,Harvest Telangana Supplies,Equipment Dealer,Lakshmi Kumar,9510571483,harvesttelanganasupplies@agro.in,Village-16,Warangal,Telangana,2024-08-25
33,Farm Telangana Inputs,Pesticide Supplier,Akash Raman,9504161060,farmtelanganainputs@agro.in,Village-95,Karimnagar,Telangana,2020-10-10
34,Farm Telangana Corporation,Pesticide Supplier,Arun Sharma,9508650147,farmtelanganacorporation@agro.in,Village-14,Hyderabad,Telangana,2024-05-09
35,Agri Telangana Solutions,Fertilizer Supplier,Arun Babu,9571610671,agritelanganasolutions@agro.in,Village-145,Hyderabad,Telangana,2023-11-10
36,Krishi Maharashtra Industries,Seed Supplier,Ajay Selvi,9152364895,krishimaharashtraindustries@agro.in,Village-47,Nashik,Maharashtra,2021-05-20
37,Krishi Maharashtra Inputs,Multi-Service Agro Center,Rohit Krishnan,9674565356,krishimaharashtrainputs@agro.in,Village-11,Nagpur,Maharashtra,2025-04-10
38,Harvest Maharashtra Corporation,Multi-Service Agro Center,Kiran Babu,9741765260,harvestmaharashtracorporation@agro.in,Village-9,Pune,Maharashtra,2025-03-13
